dataset,seed,timeslots,rooms,teachers,groups,lessons,tasks,algorithm,title,scheduled_count,unscheduled_count,conflict_count,score,utilization_percent,elapsed_ms
overloaded_impossible,1,4,2,3,2,4,10,sequential,Последовательный перебор,4,6,0,600035,50.0,0.994
overloaded_impossible,1,4,2,3,2,4,10,random,Случайный порядок,4,6,0,600051,50.0,0.000
overloaded_impossible,2,4,2,3,2,4,10,annealing,Имитация отжига,4,6,0,600000,50.0,248.576
overloaded_impossible,2,4,2,3,2,4,10,greedy,Жадный алгоритм,4,6,0,600035,50.0,0.000
overloaded_impossible,2,4,2,3,2,4,10,sequential,Последовательный перебор,4,6,0,600035,50.0,0.000
overloaded_impossible,2,4,2,3,2,4,10,random,Случайный порядок,4,6,0,600051,50.0,0.000
overloaded_impossible,3,4,2,3,2,4,10,annealing,Имитация отжига,4,6,0,600102,50.0,279.564
overloaded_impossible,3,4,2,3,2,4,10,greedy,Жадный алгоритм,4,6,0,600035,50.0,0.000
overloaded_impossible,3,4,2,3,2,4,10,sequential,Последовательный перебор,4,6,0,600035,50.0,0.000
overloaded_impossible,3,4,2,3,2,4,10,random,Случайный порядок,4,6,0,600000,50.0,0.000
overloaded_impossible,4,4,2,3,2,4,10,annealing,Имитация отжига,4,6,0,600051,50.0,236.527
overloaded_impossible,4,4,2,3,2,4,10,greedy,Жадный алгоритм,4,6,0,600035,50.0,0.000
overloaded_impossible,4,4,2,3,2,4,10,sequential,Последовательный перебор,4,6,0,600035,50.0,0.000
overloaded_impossible,4,4,2,3,2,4,10,random,Случайный порядок,4,6,0,600051,50.0,0.000
overloaded_impossible,5,4,2,3,2,4,10,annealing,Имитация отжига,4,6,0,600035,50.0,273.867
overloaded_impossible,5,4,2,3,2,4,10,greedy,Жадный алгоритм,4,6,0,600035,50.0,0.000
overloaded_impossible,5,4,2,3,2,4,10,sequential,Последовательный перебор,4,6,0,600035,50.0,0.000
overloaded_impossible,5,4,2,3,2,4,10,random,Случайный порядок,4,6,0,600016,50.0,0.000
small_basic,1,6,3,3,2,3,5,annealing,Имитация отжига,5,0,0,30,27.8,234.234
small_basic,1,6,3,3,2,3,5,greedy,Жадный алгоритм,5,0,0,30,27.8,0.000
small_basic,1,6,3,3,2,3,5,sequential,Последовательный перебор,5,0,0,65,27.8,0.000
small_basic,1,6,3,3,2,3,5,random,Случайный порядок,5,0,0,65,27.8,0.000
small_basic,2,6,3,3,2,3,5,annealing,Имитация отжига,5,0,0,30,27.8,277.061
small_basic,2,6,3,3,2,3,5,greedy,Жадный алгоритм,5,0,0,30,27.8,0.000
small_basic,2,6,3,3,2,3,5,sequential,Последовательный перебор,5,0,0,65,27.8,0.555
small_basic,2,6,3,3,2,3,5,random,Случайный порядок,5,0,0,30,27.8,0.000
small_basic,3,6,3,3,2,3,5,annealing,Имитация отжига,5,0,0,30,27.8,251.060
small_basic,3,6,3,3,2,3,5,greedy,Жадный алгоритм,5,0,0,30,27.8,0.528
small_basic,3,6,3,3,2,3,5,sequential,Последовательный перебор,5,0,0,65,27.8,0.000
small_basic,3,6,3,3,2,3,5,random,Случайный порядок,5,0,0,30,27.8,0.000
small_basic,4,6,3,3,2,3,5,annealing,Имитация отжига,5,0,0,30,27.8,257.579
small_basic,4,6,3,3,2,3,5,greedy,Жадный алгоритм,5,0,0,30,27.8,0.000
small_basic,4,6,3,3,2,3,5,sequential,Последовательный перебор,5,0,0,65,27.8,0.000
small_basic,4,6,3,3,2,3,5,random,Случайный порядок,5,0,0,30,27.8,0.000
small_basic,5,6,3,3,2,3,5,annealing,Имитация отжига,5,0,0,30,27.8,278.279
small_basic,5,6,3,3,2,3,5,greedy,Жадный алгоритм,5,0,0,30,27.8,0.000
small_basic,5,6,3,3,2,3,5,sequential,Последовательный перебор,5,0,0,65,27.8,0.000
small_basic,5,6,3,3,2,3,5,random,Случайный порядок,5,0,0,30,27.8,0.000
